kc,cluster
MBTI理论,82
基本感觉认知,14
时间片,28
阿佛加德罗常数,-1
数据结构,-1
真空,36
互补输出级,38
经验之塔,120
最小二乘解,106
昭宣中兴,-1
蛮力算法最坏情况,107
实训项目,-1
左式堆的合并算法,-1
台式电脑,144
习得性无助,-1
高温陶瓷,10
完全弹性碰撞,-1
辐射热管理,157
混合气体热导率计算,141
函数的嵌套调用,140
王莽改革,138
应急管理系统,-1
进程管理,170
机械系统,60
碘仿反应,50
学科中心主义课程理论,121
混凝土,8
备用信用证,167
stream信息处理,170
意识能动性,14
高原肺水肿,124
无线技术与多媒体应用,137
时间复杂度,28
疾病类型,119
材料使用特性,10
消费,180
肾性急性肾衰竭,119
职位性权利,88
惯性概念,-1
功能系统图,60
下丘脑损伤,16
全文,109
磨损,16
OpenSOC平台,146
共价键材料,10
运动类型,-1
酒精含量,-1
冥河,-1
奇函数,140
烯烃反应,153
内核线程,-1
现金流分析,24
精神财富,20
市场营销战略,172
合同法基本概念,62
字符串,-1
植物景观意向,1
资本理论,89
电容,49
函数分析,140
第一世界,-1
对立,78
命题理论,101
溶液混合,134
多国联盟,-1
内存管理,170
种子管理与研究,1
贸易盈余,180
学习环境的特征,179
甲基化酶,166
相似性度量,39
硬实,-1
扩展报道,116
外交政策,73
硅谷,133
酱香型白酒,159
双层伸展,-1
人格权利,88
噪声要求,-1
异构现象,61
材料失效,9
向日葵,1
服务平台,146
需求的收入弹性,186
洛伦兹变换,45
用户画像,146
热力学与相变,93
文件分配,-1
稀释,134
摄影技术,137
特征值的特征向量,39
西晋,168
众筹模式,15
真值,-1
独立同分布,61
准则能量最低原理,95
二极管,49
辩证法,-1
起诉,86
应急管理体系,-1
资产结构,-1
中印边界,162
碗钉,10
局限性,21
玻璃材料,10
身体成分分析,24
牛津循证医学,69
退休者,-1
班集体形成基础,176
碳链,153
浓度,-1
原则体系,-1
分类,-1
正态分布理论,101
DNA生物学,70
产品责任,86
学习器,177
正交化方法,-1
公正司法,-1
劳动力,79
理想气体温标,112
教育技术,-1
磁性及磁性材料,10
F-C烷基化,153
风口评价指标,42
现代教育制度,189
典型事实,27
手性化合物,154
教育改革,-1
文言,-1
逐客令,-1
对象研究,103
三角洲地区,163
计算机设备与应用,137
发酵酒,-1
学位论文,-1
swf格式,92
格式条款,92
有限元分析,24
植物的形态美,1
商业模式,160
三层体系结构,-1
组织结构,77
环己甲酸合成,154
三湾一海,164
马克思,23
边际产量,-1
最优化法则,107
酸碱平衡紊乱类型,128
目标类数据,175
节点插入,33
教学方法与设计,179
酒类知识,158
微量元素,51
营销策略,173
应变分量,130
集成运放原理,34
p区元素,51
大庆精神,20
自拍照,-1
亲电取代,-1
数据处理技术,171
生存质量,-1
血糖管理,151
社交媒体,132
天道循环,-1
传统植物文化,1
蛋白液,134
两球相贯,-1
占卜,81
带默认值参数值的函数,140
伸展算法,107
克劳修斯不等式,-1
粘性系数,75
保护措施,-1
存货,67
静态函数,-1
继承与派生,61
条目内在一致性,92
逻辑学概论,-1
炎症介质,149
贮存管理,170
信息系统与管理,-1
信息化教学资源,-1
页面,144
味觉,13
学习方法与策略,178
效度,43
数理,-1
CAJ浏览器,144
身体形态与评估,-1
生活水平与经济发展,183
物质,-1
Kopernio查找,30
脑内γ-氨基丁酸,-1
角动量守恒,74
渗透压,123
函数定义域,140
沸腾传热,156
导热微分方程,141
喀布尔,162
M型(多元结构),77
欲望,20
稀缺资源,-1
阴极反应,50
界面,144
留置权,87
秦朝历史,-1
蕴涵,78
键角,74
货币政策与供应,188
信号量,43
队列研究,-1
资产阶级革命,138
检索课题,-1
电子构型,58
大曲知识,110
创业知识,120
五大类工程材料,10
函数重载,140
拉格朗日函数,-1
资产负债表,56
力矩平衡,118
土地使用权与抵押权,87
祆教,-1
要素市场,181
原料,10
弹药,-1
教室坏境,179
可导函数,140
局部染色,16
两体问题,-1
数字音乐文件,-1
硅谷变迁,133
广播,-1
产业区位与发展,19
孩子,20
不正常种苗,1
植物文化,1
自由度,7
道教思想,23
main函数,140
货币市场工具,188
平方试探策略,-1
质点运动理论,99
电阻的串并联,-1
地面战役,143
函数的参数,140
算法,107
散热器,-1
进制转换,54
化学平衡,-1
交易与转移,97
醇类物质,166
多文件结构,-1
财经报道原则,116
物价水平,185
循环机制,25
光学性质,61
行为科学,-1
BALIS文献传递服务平台,146
代用货币,187
大数据分析,175
广告,144
数据分析方法,175
沉淀,-1
古典艺术,12
城市道路绿化,1
流行病学,69
国民储蓄,-1
石墨,-1
青铜艺术,12
肝脏疾病与代谢,119
社会改造主义课程理论,121
鸿门宴,81
发芽率,44
切线方程,46
实验设计与样本分析,-1
冷却除湿,-1
RAW格式,92
恒温烘箱法,-1
约束与优先级管理,-1
弹簧秤,-1
骨骼损伤与愈合,-1
品德评价,52
资本主义理论,89
中东政治与历史,-1
植物,1
助人行为,-1
开疆拓土,19
应激,105
建筑物区分所有权,-1
市场利率,188
义务兵役制,-1
欧拉角,74
现值,180
现代教育技术,-1
随机森林算法,107
包容式组合,5
气管插管,124
宗教,111
磺脲类药物,166
超链接,30
函数的运算,113
归谬赋值法,96
血氧含量,55
数据管理系统,171
行为理论,82
数据对象,175
希腊哲学,23
生命科学,70
样本量估算,-1
西周,168
自然对流,25
国际贸易,97
积极心理学,82
酒度,158
乳酸,166
劳动供给,79
幸福,20
galerkin方程,46
安全生产责任意识,86
经济增长率,-1
特征与性质,61
系统动力学,60
多媒体组合教学,-1
维生素,-1
节点删除操作,33
设计领域,-1
冷负荷,127
品味,13
管排修正系数,-1
古树名木保护,1
竹林七贤,-1
市场结构,181
考试,-1
认知主义学习理论,94
锁定与噪声控制,-1
配合物命名,-1
物理学,63
函数的变化,140
新能源材料,10
外延,-1
视线,-1
生产关系,-1
稀缺性,29
对象指针,-1
文献,109
郎官石柱记,-1
囊膜,117
文件系统,-1
云爆弹,-1
动产物权,87
补液原则,134
应激性溃疡,-1
合式风险治理框架,151
烯烃,153
景观结构体系,-1
植物景观设计与规划,1
媒体化,116
深度学习优化算法,107
氢相关化学,154
财务指标,42
微分中值定理,95
生产环节,4
混凝土冻融循环破坏,8
乙醇,166
金属及合金材料,10
研究对象,103
MBTI,-1
边际消费倾向,-1
无线传输介质,-1
产品价值分析,24
唐代,168
PHP编程知识,110
长平之战,138
嗅觉,13
上凸函数,140
众筹融资,15
核心期刊,108
支链淀粉,-1
偏差与异常分析,-1
阈值,40
内涵,78
陶瓷及陶瓷材料,10
土地承包经营权,87
高分子材料,10
创新与创造力,-1
个性化与文化适应,12
四象限法则,-1
胚长度,41
面向对象编程中的类结构,48
自然规律,-1
班主任在教育过程,176
缺页,-1
正态分布的密度函数,139
标准平衡常数,118
最小-最大值规范化,-1
表面式冷却器,127
体积,31
中国古代,168
办公与设计软件应用,137
教学设计,179
何不食肉糜,20
植物种类规划原则,1
溴化银溶液,134
数据规范化,-1
Cochrane协作网,-1
美国司令官,143
聚类,-1
复利,-1
免责条款,86
技术决定论,-1
大数据特征,175
孟德尔遗传学,70
EI数据库,174
概率分布,-1
编译环境,-1
无限花序,53
数据集成,175
形状,61
材料科学,10
网络技术,137
高斯消元法,96
使用方法,18
社会冲突管理,151
品牌管理,151
弹性结构,77
电视,132
动量与能量守恒定律,68
礼乐制度,91
DNA的突变,-1
全身性炎症反应临床综合征,105
溶度积,-1
能量与功,-1
专利,-1
新秩序,-1
双向传递,-1
湿空气的物理性质,-1
法人,-1
条件性,61
颅内压,123
行列式的基本性质,83
真人,-1
酸价,165
调查性报道,-1
LU分解,135
人与自然,-1
病毒感染,69
优秀团队成员特点,5
职业素养,52
烷烃结构,153
知识论学说,94
零点漂移,26
力的概念,72
常量赋值,-1
参数传递过程,98
静态电流,11
法治理论,-1
急救,2
呼吸生理学,70
T细胞,131
编程能力,110
同分异构,61
反应平衡,-1
均匀热流,-1
加权残值法,96
BMI,-1
专类园,1
犹太教,111
速度与加速度,57
反应速率,130
运动流体的能量方程,68
假设检验问题,64
赔偿,85
数据平滑,-1
潮解,-1
活化能,136
磁石,10
临界点,40
理想运放,34
有机物命名,154
控制系统,60
维度与降维,-1
中国哲学家,23
尿量改变,119
乳果糖,166
人行道,-1
一阶,35
苯并芘,-1
存储处理,170
树的拓扑结构,76
贸易赤字,180
办公自动化,-1
植物专类园,1
过渡时期总路线,22
氧化能力,-1
力学,63
伸长量,41
左式堆,-1
重言式,-1
我国古代教育思想,189
法定准备金,167
位移函数,-1
董仲舒,169
完整约束,92
资本净流出,180
形态学,70
原油泄露事故,3
种子萌发调节剂,1
反应物浓度,-1
世界性,152
资治通鉴,-1
自由基取代,7
种植施工图,1
催化剂,-1
湿空气的状态,-1
塔利班,162
担保,84
散流器,-1
热导率研究,141
质性评价模式,52
修订,-1
数学期望,-1
效率,44
有限元,-1
独立,-1
氨基酸相关知识,120
结构材料,10
高级检索,30
酒的分类,158
独生子女,20
货币需求,188
物价,-1
特征长度,41
尺寸标注,41
薪酬设计,-1
算法设计与应用,-1
个人权利保护,88
人为,66
蒸汽压,123
复合材料和生物材料,10
散列映射,45
口语,-1
数据管理与分析,-1
灰度阶次,35
亚里士多德,111
命题演算的自然演绎系统,100
大数据,175
不可分性,61
肾上腺素,119
植物的芳香美,1
职责,-1
平面应变,129
平面力系的简化,-1
构象,61
反应类型,-1
流行病学家,69
文化与思想人物,23
初步具备风格,61
位置与偏倚,19
地理区域,19
知识掌握,120
特定物,150
匀加速运动,57
OLAP技术,104
发酵过程,166
酱中带浓白酒,159
联合国军,143
三个代表,164
碱,166
归纳,78
浓中带酱白酒,159
美学,12
承诺生效,-1
波茨坦会议,-1
统计数据,175
我国现代学校教育制度演变历程,189
民事法学,62
不可逆性,61
效用函数,140
草履虫,1
专业能力标准,52
资源,4
现金流量管理,-1
共价结构分子空间构型,58
代偿,85
高度,41
对数平均温差,-1
物质资料,10
边界层理论,101
刘秀,-1
稳定静态工作点,11
政治体制改革,138
货币供给,188
大数据架构,175
驻波,-1
碳材料,10
分子和热学动理论,93
电子取景器,137
函数指针,-1
艺术作品,12
通货膨胀与汇率,188
施主能级,-1
同一律,61
银,-1
不安抗辩权,88
公共采购政策,114
值的类型,-1
倒萨起义,138
无偏估计,32
分布函数,139
旋转与运动,57
反馈,-1
财务,-1
赤纬,-1
经营,160
思维方式,-1
消费者行为学,-1
势阱,21
氧化态,136
数据清理原则,175
核心,-1
IS曲线方程,46
拉格朗日关系式,-1
生产原料,10
组织与团队管理,151
胸腔容积,31
物化,-1
数组与维数,-1
多媒体信息,137
毛细血管,-1
商鞅变法,138
零件,-1
营销管理,151
证据收集,-1
轴测图与轴点策略,-1
地理位置,19
金融自由化,7
筹资活动,15
高平陵之变,138
胃部疾病,119
运动饮食,-1
解释性报道,116
研究样本量,103
薛举,169
物流,-1
人工智能概论,71
自主创新战略,173
癌症类型,119
建筑用地使用权,-1
团队,5
放大电路设计,34
三段论,-1
基本矛盾,78
物质状态变化,150
商业媒体传播原则,116
新东方,-1
溶液,134
教学功能,179
2-丁酮,-1
中国特色社会主义理论体系,90
小数定标规范化,-1
评价方法,52
原子结构与杂化理论,-1
党的基本路线,22
统计学与测量,-1
劳动力价值,79
电学概念,34
热机的逆循环,-1
建筑环境设计,65
友元,-1
唐朝土地制度,-1
真实性评价指标,52
坏血病,119
异丙基,-1
社会生产力,79
课堂轨迹,179
否极泰来,61
数据仓库三级模型,175
亭长,169
肾小球滤过率,119
战略反攻,73
3p亚层,37
骨骼解剖学,-1
供应链合作与管理,151
分子偶极距,26
产品功能结构,77
噬菌体,131
快速排序,53
边际替代率,-1
日本丰田,-1
以人为本,20
简谐振动与波动,57
化学键与配合物,154
自然式种植形式,1
吴起,169
微课类型,178
市场分析预测,47
阿富汗,162
殖民地,143
教育制度与发展,190
社会主义发展理论,90
酸碱理论,-1
全期望公式,-1
焦点,-1
金融服务行业,160
速率分布函数,139
能源工业,3
经济事项,-1
资金,167
基底函数,140
学术资源平台,-1
计算机科学与技术,137
企业发展与组织,151
农业类外文期刊,108
企业类型与品牌,160
组织市场,181
价值理论,82
表面辐射热阻,157
体积功,31
相似原理的应用,-1
收入弹性,186
期刊投稿网站,108
运动学,63
采购方案,-1
植物景观规划设计,1
越南化政策,122
图腾,78
醇的脱水反应,166
中文期刊概览,108
AI技术,137
导数理论,-1
慢性疾病,119
拉式策略,173
手性碳原子,153
白酒,159
伸展算法的复杂度分析,107
税务管理,151
中国历史人物,168
形状函数,-1
血浆,131
线性理论,101
民主主义革命,138
环渤海经济圈,163
拙政园,1
技术概念,72
混凝土硫酸盐侵蚀破坏,8
方程求解方法,46
婚姻,20
低张性缺氧,55
中印边界作战,162
工程图绘制,0
国内生产总值概念,72
平衡状态,118
果实,-1
析构函数,140
激励机制,-1
行列式的几何意义,83
象征,78
停车场种植,1
HTTP协议状态码,147
教育功能内容,184
历史兴亡周期率,142
岛屿与湖泊,-1
虚拟货币,187
可变资本,-1
GAD自身抗体,125
SCI数据库,-1
构建问题,64
决策理论,82
车臣问题,161
市场渗透,181
假性神经递质,6
婴儿营养,-1
移动性浊音阳性,61
选题,-1
串,80
画家,12
马克思主义理论,90
中东战争与冲突,-1
管理学概念,72
访问内存,170
免费注册,146
话题,-1
辐射,-1
数据库,174
代数余子式,-1
物质帮助,-1
肺,124
数据管理,171
六度分隔理论,101
向量与空间理论,101
转录,-1
中国绘画,-1
预后研究,-1
一维导热,157
投影技术,137
自发分解,135
扩散性,61
二元谓词,-1
同步轨道,61
出版时间,109
社会,132
功,81
换热器类型,156
动量,-1
教学机,-1
平台多元化,146
空间规划,0
市场营销学,172
军队裁员,143
教育目的选择,184
数值计算与分类算法,-1
动能表达式,68
关键业务,160
逆向选择,-1
王进喜,-1
行列式的计算,83
社会主义改革,138
材料科学与工程,10
商业价值,-1
检索词汇,30
承担者,-1
政府购买乘数,114
参数方程确定的函数求导,102
电流,49
摆动系统,60
商业,160
茅焦之谏,-1
建筑热湿环境,65
心血管疾病风险因素,2
高级品酒师,158
印度支那停战协定,162
高阶无穷小量,32
伦敦旅游景点,-1
民族多样性与交流,152
客观事物,66
巴蜀之乱,138
连续性问题,64
Balis馆际互借服务,146
幾,-1
工业区位理论,-1
经济增长理论,89
植物景观围合强度,1
模型理论,101
最小势能原理,95
雾霾,-1
爻,81
中国历史学,-1
基于Planarity布局算法,107
AIDS,-1
合同法,62
热扩散率,-1
组织结构类型,77
角系数,75
经济物品,183
经济增长,183
简单国民收入,185
角动量,74
临床研究与实践,121
保守力,29
目标设定与规划,0
局部对流传热系数,148
媒体叙事策略,116
担保范围,-1
库存,67
理想气体性质,112
推理与论证,78
超级解霸,-1
垄断,122
德育教育,182
计算机教学应用,-1
级数与收敛性,-1
汤姆森系数,75
规划谬误,0
人机交互,126
硫化合物,154
权益乘数,-1
页面置换算法,107
发热模型,-1
中国文化概念,-1
火箭炮,115
积分理论,101
简谐运动,57
弹性力学,63
事务数据库,174
真实汇率,-1
相似准则数,39
电梯调度算法,107
中美军事冲突,162
要务,-1
工作台,146
优势反应,130
投资组合,5
离散化,-1
美国总统选举,143
课程理论与实践,121
电熨斗,49
M0的定义,-1
国家与阶级关系,91
循证医学,69
BIOSISPreviews数据库,174
粉红色泡沫痰,124
新闻传播与实践,121
精神,20
三绝,-1
弥散障碍,-1
需水量,31
内毒素,-1
路演,146
促销,-1
抵押权,87
矿物与金属材料,10
瘀斑,16
凯恩斯陷阱,21
车臣战争,161
地役权,-1
钢管椅,10
内容,92
肾小管内液,119
微观市场营销学,172
极限运算,106
辐射传热,157
战略管理,151
违约金,-1
西方教育史,-1
电影,-1
老白干香型白酒,159
三老四严,164
系统特性,60
住宅建筑与政策,65
状态函数,140
微分运算,106
环境污染责任,86
教与学,179
尿渗透压,119
醛,166
健康相关生存质量量表的评价,52
免疫与反应机制,105
维护世界和平,152
宋代,168
新自由主义,-1
物质的聚集状态,150
平衡方程,118
移植,1
危机管理,151
货币中性的古典原理,89
促销方式,160
凝结面积,31
物权法原则,-1
气体性质,-1
层流入口段,37
指针,-1
纸桥失效,9
宏观经济报道,116
采样率,44
种子寿命,1
同分异构现象,61
地心,36
两岸关系,91
儒道释修心之法,23
承诺到达,-1
离子化学,154
内联函数,140
企业,-1
系统论,60
利率与汇率,-1
资产管理,151
材料,10
氢键,153
文献类型,-1
吸引力,28
教育方针,184
师生关系,-1
配合尺寸,41
企业管理,151
企业战略,173
传热机制,148
缩醛,-1
集中参数法,-1
无机化学化合物,154
稀土元素,51
人工干燥,-1
电能,49
应用协议,147
教师专业化发展途径,-1
混合气体热导率,141
传粉方式,18
伽拉提亚的掳掠,-1
教材编写,-1
零杆,26
香气化学,154
输液治疗,134
H型(控股结构),77
知识,120
隐私权,88
皖南屯绿,1
数据法律风险,175
经济学知识体系,-1
基酒组合,158
简单函数的极限问题,113
牧草种子知识,1
稳态导热分析,141
净现值,180
花境观赏角度,1
寡头垄断,-1
苏格拉底,111
人造微地形,66
效应概念,72
优先级队列,-1
物质代谢,-1
货币,187
盈利能力指标,42
第一电离能,49
班级管理,-1
现代教学媒体,-1
宏观环境,66
概率密度函数,-1
市场营销策略,172
因子图,-1
项目计划书,0
非稳态导热方程隐式格式,141
失业与失业保险,97
虚拟现实,126
财务报表分析,24
膜状凝结,-1
吸水率,31
金属加工与表面处理,10
文摘,109
可逆的气道,-1
Boosting思想,22
价层电子对互斥理论,99
现代学制发展特点,189
行为,20
集群偏好,-1
沟通与谈判,97
大学生活,-1
甘特图,78
等温方程式,-1
历史形态,142
IO数据传输,-1
金融工具与机构,188
沉浸叙事,78
贵族制,-1
环境,66
西方教学论,-1
三家分晋,-1
教育目的类型,184
三大经济圈,163
Kopernio高级用户,30
汽化核心数,-1
机械能守恒,-1
两级放大电路,34
带宽,-1
净进口,180
优势,-1
传热规律转变判据,148
浆细胞,131
平台,146
代谢途径,119
侵权行为,86
反函数,140
翻译与编译技术,137
汉朝历史人物,168
写作手法,-1
后进生,-1
亚洲四小龙,152
函数的调用,140
竞争者行为,-1
有机反应类型,128
碳自由基,153
花境设计,1
成本与价格分析,24
树结构与算法,107
酿酒技术,158
吉布斯自由能,7
离群点,26
教育者,182
战利品,-1
外交战略,73
人民法院,-1
教育目的功能,184
神经信号传导,6
函数凸性,140
多数表决,155
政府形式,-1
圆形花坛,1
集成运放,34
状态与特性,61
哲学思想,23
OLAP操作,104
沈博阳,-1
电阻,49
数据,175
易用,18
循证医学指南,69
视觉媒体及常用设备,137
白酒评鉴知识,159
循证,69
要约,-1
点的极限,26
建筑学,65
功能概念,72
有心力场,36
负债总额,-1
物理定律与定理,-1
组合复合材料,10
石油工程,3
沸点,123
隐函数的求导方法,102
货币政策,188
向量运算,106
阿富汗新战略,73
教师专业发展,190
对称因素,66
统计学专,-1
违约责任,86
水观法,-1
企业管理现代化,151
点缺陷,21
政治体制,155
质心,36
儿童游戏场活动范围,-1
营销平台,146
缺氧,55
西塞罗,168
中国石油工业史,3
pH值,165
平面应变问题,129
教育价值取向,184
镜像变换,-1
资金障碍,167
体温调节,-1
代偿心,84
