level_0,level_1,level_2,root_kc,final_cluster
形状,形状,性质与特性,化学与物理性质,8
熵,热力学与相变,热力学理论,科学理论与方法,9
北卡三角研究园,研究方法论,研究设计,组织与评估设计,0
抵押权,抵押权,物权法律关系,法律与政治制度,10
逻辑的发展史,逻辑学概论,逻辑学概论,科学理论与方法,9
支付宝,支付宝,科技与支付系统,信息技术与管理,12
钢管椅,钢管椅,材料科学与工程,生物与自然科学,4
散热器,散热器,散热器,热力学与化学反应,7
四次中东战争,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
边界条件,边界层理论,数学理论,科学理论与方法,9
物理学,物理学,力学理论,科学理论与方法,9
教育制度的特点,教育制度与发展,教育制度与发展,教育研究与实践,13
花坛,花坛,植物景观与设计,生物与环境设计,2
需水量,需水量,物理性质,化学与物理性质,8
高斯消元法,高斯消元法,线性代数解法,科学理论与方法,9
户型选择,空间规划,规划与设计,生物与环境设计,2
成本理论,经济理论,经济理论概述,科学理论与方法,9
基底函数,基底函数,函数理论,科学理论与方法,9
随访期限,对象研究,研究设计,组织与评估设计,0
Hadoop,数据管理系统,数据管理与处理,信息技术与管理,12
突发公共事件,灾害与突发事件,急救与应急管理,信息技术与管理,12
EI数据库,EI数据库,数据库系统,数据处理与编程知识,5
访问内存,访问内存,计算机系统管理,信息技术与管理,12
缩醛,缩醛,缩醛,热力学与化学反应,7
通货膨胀率,通货膨胀与汇率,货币与金融市场,经济体系与发展,16
历史形态,历史形态,历史研究,中东与中国历史政治研究,15
量纲分析,数据分析方法,数据处理与分析,信息技术与管理,12
浓硫酸,无机化学化合物,有机与无机化学知识,化学与物理性质,8
研究因素,研究方法论,研究设计,组织与评估设计,0
中位数,量子数与数值概念,量子数与数值概念,科学理论与方法,9
第四次中东战争,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
主视图,工程图绘制,规划与设计,生物与环境设计,2
环烷烃,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
OLAP操作,OLAP操作,OLAP技术,教育研究与实践,13
运算,运算类型,运算类型,类型分类,1
甲基己烷环,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
草木樨,草木樨,植物景观与设计,生物与环境设计,2
流行病学,流行病学,循证医学与流行病学,生物与自然科学,4
金属电极,金属电极,电学原理,科学理论与方法,9
供给侧改革,中国经济体制改革,中国历史改革与革命,中东与中国历史政治研究,15
位移函数,位移函数,位移函数,科学理论与方法,9
德育教育,德育教育,教育理念,教育研究与实践,13
纳米材料,材料科学,材料科学与工程,生物与自然科学,4
肝硬化,肝脏疾病与代谢,泌尿系统与代谢疾病,生物与环境设计,2
散流器,散流器,散流器,热力学与化学反应,7
中石油的企业精神,中国石油文化,石油与能源产业,经济体系与发展,16
模型参数,模型理论,数学理论,科学理论与方法,9
承诺到达,承诺到达,承诺到达,国际关系与协议,3
热边界层,边界层理论,数学理论,科学理论与方法,9
现行利率,利率与汇率,利率与汇率,经济学概念,11
电荷,电学概念,运算放大器与电路设计,信息技术与管理,12
定积分,积分理论,数学理论,科学理论与方法,9
壬烷,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
未分配利润,财务指标,绩效评价指标,组织与评估设计,0
疾病类型,疾病类型,泌尿系统与代谢疾病,生物与环境设计,2
享乐主义,享乐主义,享乐主义,法律与政治制度,10
伸展树,树结构与算法,算法优化与分析,信息技术与管理,12
肺气肿,肺气肿,呼吸系统疾病,生物与环境设计,2
应急管理系统,应急管理系统,应急管理系统,信息技术与管理,12
开放新闻运动,新闻传播与实践,课程理论与实践,教育研究与实践,13
气液相变,热力学与相变,热力学理论,科学理论与方法,9
无产阶级专政,国家与阶级关系,社会与政治关系,中东与中国历史政治研究,15
苯,苯,有机化学物质,化学与物理性质,8
扩散性,扩散性,性质与特性,化学与物理性质,8
右值,值的类型,值的类型,类型分类,1
机械恒守恒定律,物理定律与定理,物理定律与定理,科学理论与方法,9
微分方程通解,方程求解方法,方程理论,科学理论与方法,9
特征,特征与性质,性质与特性,化学与物理性质,8
姓名权,物权与权利,物权法律关系,法律与政治制度,10
波长,光学性质,性质与特性,化学与物理性质,8
侵权责任法的理念,侵权责任法,法律责任,法律与责任,6
股份有限公司,企业类型与品牌,商业与产业,经济体系与发展,16
欧拉方程,方程求解方法,方程理论,科学理论与方法,9
灵活性,性质,性质与特性,化学与物理性质,8
英文平台,学术资源平台,学术资源平台,教育研究与实践,13
底层生活,生活水平与经济发展,经济发展与增长,经济体系与发展,16
服务平台,服务平台,服务平台管理,信息技术与管理,12
双头螺柱连接图,工程图绘制,规划与设计,生物与环境设计,2
局部表面传热系数,热传递系数,传热学概念,热力学与化学反应,7
化学进程,化学概念,有机与无机化学知识,化学与物理性质,8
决策平衡单,决策理论,心理学理论,科学理论与方法,9
韩国财阀,韩国财阀,商业与产业,经济体系与发展,16
信用卡,金融工具与机构,货币与金融市场,经济体系与发展,16
改革开放,中国经济体制改革,中国历史改革与革命,中东与中国历史政治研究,15
脑内γ-氨基丁酸,脑内γ-氨基丁酸,脑内γ-氨基丁酸,热力学与化学反应,7
人质事件,灾害与突发事件,急救与应急管理,信息技术与管理,12
正态近似,正态分布理论,数学理论,科学理论与方法,9
泰勒多项式,泰勒分析与近似方法,泰勒分析与近似方法,科学理论与方法,9
库存成本,成本与价格分析,分析方法,科学理论与方法,9
命题,命题理论,数学理论,科学理论与方法,9
有限责任公司,企业类型与品牌,商业与产业,经济体系与发展,16
视图关系,工程图绘制,规划与设计,生物与环境设计,2
侵权行为,侵权行为,法律责任,法律与责任,6
单反相机,摄影技术,多媒体与技术应用,教育研究与实践,13
原发胃癌,癌症类型,泌尿系统与代谢疾病,生物与环境设计,2
四面体结构,结构类型,结构类型,类型分类,1
代数余子式,代数余子式,代数余子式,科学理论与方法,9
线性试探,线性理论,数学理论,科学理论与方法,9
主成分分析,数据分析方法,数据处理与分析,信息技术与管理,12
神经网络模型,模型理论,数学理论,科学理论与方法,9
弹性结构,弹性结构,结构类型,类型分类,1
焦距,摄影技术,多媒体与技术应用,教育研究与实践,13
信用社,金融服务行业,商业与产业,经济体系与发展,16
碳材料,碳材料,材料科学与工程,生物与自然科学,4
喀布尔,喀布尔,中印军事冲突与地缘政治,中东与中国历史政治研究,15
电子云,电子学,运算放大器与电路设计,信息技术与管理,12
教师工作的本质,教师专业发展,教育制度与发展,教育研究与实践,13
组元,数组与维数,数组与维数,科学理论与方法,9
甘油三脂,肝脏疾病与代谢,泌尿系统与代谢疾病,生物与环境设计,2
高层塔楼的防火分区,住宅建筑与政策,建筑环境与生态设计,生物与环境设计,2
经济增长率,经济增长率,经济增长率,经济体系与发展,16
辐射传热,辐射传热,辐射热传递,热力学与化学反应,7
人与自然,人与自然,人与自然,生物与自然科学,4
平台多元化,平台多元化,服务平台管理,信息技术与管理,12
主分支,空间规划,规划与设计,生物与环境设计,2
标准平衡常数,标准平衡常数,平衡理论,科学理论与方法,9
权利质权,物权与权利,物权法律关系,法律与政治制度,10
电子排列方式,电子学,运算放大器与电路设计,信息技术与管理,12
个人来源,个人来源,个人来源,法律与责任,6
质点的运动规律,质点运动理论,化学理论,科学理论与方法,9
协方差,偏差与异常分析,偏差与异常分析,科学理论与方法,9
消费支出,财务指标,绩效评价指标,组织与评估设计,0
RAW格式,RAW格式,文件格式与内容管理,信息技术与管理,12
购买力平价理论,经济理论,经济理论概述,科学理论与方法,9
有限元方法,泰勒分析与近似方法,泰勒分析与近似方法,科学理论与方法,9
完全二叉堆插入算法,树结构与算法,算法优化与分析,信息技术与管理,12
内核态,状态与特性,性质与特性,化学与物理性质,8
心肌舒张,心血管急救与疾病,急救与应急管理,信息技术与管理,12
经济增长理论,经济增长理论,经济理论概述,科学理论与方法,9
去脂体重,身体成分分析,分析方法,科学理论与方法,9
复合命题,命题理论,数学理论,科学理论与方法,9
运算放大器模型,运算放大器知识,运算放大器与电路设计,信息技术与管理,12
文化超地域性,中国文化概念,中国文化概念,中东与中国历史政治研究,15
计算机网络,网络技术,多媒体与技术应用,教育研究与实践,13
牧草种子产量组分,牧草种子知识,植物景观与设计,生物与环境设计,2
战略反攻,战略反攻,国际战略,中东与中国历史政治研究,15
异丙基,异丙基,异丙基,热力学与化学反应,7
矩阵变换,矩阵理论,数学理论,科学理论与方法,9
赤纬,赤纬,赤纬,中国古代文化,14
不可逆性,不可逆性,性质与特性,化学与物理性质,8
新闻跳笔原则,新闻传播与实践,课程理论与实践,教育研究与实践,13
物权变动,物权与权利,物权法律关系,法律与政治制度,10
茅焦之谏,茅焦之谏,茅焦之谏,中国古代文化,14
OFFICE软件操作,办公与设计软件应用,多媒体与技术应用,教育研究与实践,13
无氧运动,运动类型,运动类型,类型分类,1
圆周运动,运动学,力学理论,科学理论与方法,9
教师专业自我发展,教师专业发展,教育制度与发展,教育研究与实践,13
平面应变,平面应变,平面应变理论,科学理论与方法,9
动态存储分配,内存管理,计算机系统管理,信息技术与管理,12
MBTI理论,MBTI理论,心理学理论,科学理论与方法,9
民主主义革命,民主主义革命,中国历史改革与革命,中东与中国历史政治研究,15
互动环,循环机制,流体力学,科学理论与方法,9
混合气体压强,理想气体性质,理想气体性质与温标,化学与物理性质,8
理想运放,理想运放,运算放大器与电路设计,信息技术与管理,12
OpenSOC平台,OpenSOC平台,服务平台管理,信息技术与管理,12
电信企业,企业类型与品牌,商业与产业,经济体系与发展,16
正面情感情绪,积极心理学,心理学理论,科学理论与方法,9
电阻,电阻,电学原理,科学理论与方法,9
原料,原料,材料科学与工程,生物与自然科学,4
大曲作用,大曲知识,编程知识,数据处理与编程知识,5
冰的性质,冰的性质,性质与特性,化学与物理性质,8
退选修课,课程理论与实践,课程理论与实践,教育研究与实践,13
优秀团队成员特点,优秀团队成员特点,团队协作与组合,组织与评估设计,0
RCT,学术资源平台,学术资源平台,教育研究与实践,13
真实汇率,真实汇率,真实汇率,经济学概念,11
简单函数的极限问题,简单函数的极限问题,函数分析,科学理论与方法,9
违约金,违约金,违约金,法律与责任,6
费用,成本与价格分析,分析方法,科学理论与方法,9
意外成功,灾害与突发事件,急救与应急管理,信息技术与管理,12
战斗部队,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
植物的芳香美,植物的芳香美,植物景观与设计,生物与环境设计,2
中印边界自卫反击作战,中印边界自卫反击作战,中印军事冲突与地缘政治,中东与中国历史政治研究,15
课程标准,课程理论与实践,课程理论与实践,教育研究与实践,13
外部流动,流动特性,性质与特性,化学与物理性质,8
Gartner曲线,曲线分析,曲线分析,科学理论与方法,9
承诺生效,承诺生效,承诺生效,国际关系与协议,3
摩尔定律,物理定律与定理,物理定律与定理,科学理论与方法,9
英军,英军,军事历史与组织,中东与中国历史政治研究,15
斯特林公式,泰勒分析与近似方法,泰勒分析与近似方法,科学理论与方法,9
烷烃结构,烷烃结构,有机化学反应,化学与物理性质,8
对硝基苯甲酸,有机酸和代谢紊乱,有机酸和代谢紊乱,化学与物理性质,8
建筑外环境,建筑环境设计,建筑环境与生态设计,生物与环境设计,2
可变资本,可变资本,可变资本,经济学概念,11
茶圣,茶文化,文化艺术,中东与中国历史政治研究,15
石英玻璃,矿物与金属材料,材料科学与工程,生物与自然科学,4
气体,气体性质,气体性质,化学与物理性质,8
内容,内容,文件格式与内容管理,信息技术与管理,12
中东地区,中东政治与历史,中东政治与历史,中东与中国历史政治研究,15
工业设计,设计领域,设计领域,组织与评估设计,0
教育改革,教育改革,教育改革,教育研究与实践,13
平面力系的简化,平面力系的简化,平面力系的简化,科学理论与方法,9
需求的收入弹性,需求的收入弹性,收入弹性,经济学概念,11
茶艺师,茶文化,文化艺术,中东与中国历史政治研究,15
团队,团队,团队协作与组合,组织与评估设计,0
反函数,反函数,函数理论,科学理论与方法,9
学习环境的特征,学习环境的特征,教学环境与设计,教育研究与实践,13
体心立方结构,结构类型,结构类型,类型分类,1
大陆文明,中国文化概念,中国文化概念,中东与中国历史政治研究,15
电子,电子学,运算放大器与电路设计,信息技术与管理,12
克尼希定理,物理定律与定理,物理定律与定理,科学理论与方法,9
离子半径,离子化学,有机与无机化学知识,化学与物理性质,8
集成运算放大器,运算放大器知识,运算放大器与电路设计,信息技术与管理,12
民族资产阶级,国家与阶级关系,社会与政治关系,中东与中国历史政治研究,15
服务业,服务业,商业与产业,经济体系与发展,16
共价键,化学键与配合物,有机与无机化学知识,化学与物理性质,8
中频放大倍数,放大电路设计,运算放大器与电路设计,信息技术与管理,12
临床研究,临床研究与实践,课程理论与实践,教育研究与实践,13
贴现政策,货币政策与供应,货币与金融市场,经济体系与发展,16
化学键,化学概念,有机与无机化学知识,化学与物理性质,8
酮症酸中毒,有机酸和代谢紊乱,有机酸和代谢紊乱,化学与物理性质,8
线性表示,线性理论,数学理论,科学理论与方法,9
弹性力学,弹性力学,力学理论,科学理论与方法,9
定积分的相关性质,积分理论,数学理论,科学理论与方法,9
热身运动,运动类型,运动类型,类型分类,1
货币政策中介目标,货币政策,货币与金融市场,经济体系与发展,16
大数定律,物理定律与定理,物理定律与定理,科学理论与方法,9
学习风格,学习方法与策略,微课学习策略,教育研究与实践,13
可积的函数,可积的函数,函数理论,科学理论与方法,9
越南化政策,越南化政策,经济政策与垄断,经济体系与发展,16
禾草种子生产,牧草种子知识,植物景观与设计,生物与环境设计,2
数据清洗,数据处理技术,数据管理与处理,信息技术与管理,12
商业模式设计,商业模式,商业与产业,经济体系与发展,16
个人独资企业,企业类型与品牌,商业与产业,经济体系与发展,16
画作,艺术作品,文化艺术,中东与中国历史政治研究,15
数据清理原则,数据清理原则,数据处理与分析,信息技术与管理,12
晋书,晋书,晋书,中国古代文化,14
世界经济形式,全球经济模式,全球经济模式,经济体系与发展,16
车臣问题,车臣问题,车臣事务,国际关系与协议,3
专利权,物权与权利,物权法律关系,法律与政治制度,10
传热规律转变判据,传热规律转变判据,传热学概念,热力学与化学反应,7
居民,居民,居民,法律与责任,6
营业外收入,财务指标,绩效评价指标,组织与评估设计,0
金属及合金材料,金属及合金材料,材料科学与工程,生物与自然科学,4
韩信,中国历史人物,中国历史,中东与中国历史政治研究,15
商业资本,商业资本,商业与产业,经济体系与发展,16
原子半径,原子结构与杂化理论,原子结构与杂化理论,科学理论与方法,9
半波损失,灾害与突发事件,急救与应急管理,信息技术与管理,12
经济殖民,全球经济模式,全球经济模式,经济体系与发展,16
噬菌体,噬菌体,免疫细胞与体液,生物与环境设计,2
线性可分支持向量机,线性理论,数学理论,科学理论与方法,9
数据仓库三级模型,数据仓库三级模型,数据处理与分析,信息技术与管理,12
酸性,酸性,酸性性质,化学与物理性质,8
联想集团,企业类型与品牌,商业与产业,经济体系与发展,16
植物景观围合强度,植物景观围合强度,植物景观与设计,生物与环境设计,2
算术运算,运算类型,运算类型,类型分类,1
乳酸,乳酸,发酵化学,化学与物理性质,8
行列式的几何意义,行列式的几何意义,行列式知识,数据处理与编程知识,5
默认构造函数,函数概念,函数概念,科学理论与方法,9
函数指针,函数指针,函数指针,科学理论与方法,9
融化,融化,融化,热力学与化学反应,7
商业数据库,数据管理系统,数据管理与处理,信息技术与管理,12
泰勒斯,泰勒分析与近似方法,泰勒分析与近似方法,科学理论与方法,9
植物景观意向,植物景观意向,植物景观与设计,生物与环境设计,2
小康生活,生活水平与经济发展,经济发展与增长,经济体系与发展,16
大数据思想,大数据知识,大数据知识,数据处理与编程知识,5
内联函数,内联函数,函数理论,科学理论与方法,9
沉淀,沉淀,沉淀,热力学与化学反应,7
沸腾传热,沸腾传热,热交换与传热,热力学与化学反应,7
慢性肾脏病,慢性疾病,泌尿系统与代谢疾病,生物与环境设计,2
职位性权利,职位性权利,个人权利保护,法律与责任,6
互联网+,网络技术,多媒体与技术应用,教育研究与实践,13
租赁合同,合同法,合同法知识,法律与政治制度,10
高斯-赛德尔迭代法,数值计算与分类算法,数值计算与分类算法,信息技术与管理,12
电子仪器,电子学,运算放大器与电路设计,信息技术与管理,12
结构体对象,结构类型,结构类型,类型分类,1
资本主义的历史作用,资本主义理论,经济理论概述,科学理论与方法,9
avl树的重平衡,树结构与算法,算法优化与分析,信息技术与管理,12
微课类型,微课类型,微课学习策略,教育研究与实践,13
读秀学术,读秀学术,学习资源与学习者,教育研究与实践,13
债券,金融工具与机构,货币与金融市场,经济体系与发展,16
心肌顿抑,心血管急救与疾病,急救与应急管理,信息技术与管理,12
瘀斑,瘀斑,损伤类型,类型分类,1
辐射,辐射,辐射,热力学与化学反应,7
氢桥,氢相关化学,有机与无机化学知识,化学与物理性质,8
面心立方结构,结构类型,结构类型,类型分类,1
形态学,形态学,生物与地理科学,生物与自然科学,4
车臣战争,车臣战争,车臣事务,国际关系与协议,3
效力待定合同,合同法,合同法知识,法律与政治制度,10
车削,金属加工与表面处理,材料科学与工程,生物与自然科学,4
波音公司,企业类型与品牌,商业与产业,经济体系与发展,16
官能团异构,异构现象,性质与特性,化学与物理性质,8
零点漂移,零点漂移,点的特性,化学与物理性质,8
实践实习,实践经验,课程理论与实践,教育研究与实践,13
肺,肺,呼吸系统疾病,生物与环境设计,2
个人文化,个性化与文化适应,文化艺术,中东与中国历史政治研究,15
基尔霍夫定律,物理定律与定理,物理定律与定理,科学理论与方法,9
细分市场评价,细分市场评价,细分市场评价,组织与评估设计,0
前景理论,行为理论,心理学理论,科学理论与方法,9
环节,循环机制,流体力学,科学理论与方法,9
管壳式换热器,换热器类型,热交换与传热,热力学与化学反应,7
长期的总成本曲线,曲线分析,曲线分析,科学理论与方法,9
货币政策,货币政策,货币与金融市场,经济体系与发展,16
镜头,摄影技术,多媒体与技术应用,教育研究与实践,13
信息技术教育,信息技术教育,信息技术教育,教育研究与实践,13
运动,运动类型,运动类型,类型分类,1
企业品牌,企业类型与品牌,商业与产业,经济体系与发展,16
效用值的确定,值的类型,值的类型,类型分类,1
乳果糖,乳果糖,发酵化学,化学与物理性质,8
电动势,电学概念,运算放大器与电路设计,信息技术与管理,12
PHP图像函数,PHP编程知识,编程知识,数据处理与编程知识,5
投影面的平行线,投影技术,多媒体与技术应用,教育研究与实践,13
共同侵权,共同侵权,法律责任,法律与责任,6
对越自卫还击战,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
种子清选,种子管理与研究,植物景观与设计,生物与环境设计,2
新材料,材料科学与工程,材料科学与工程,生物与自然科学,4
双因素理论,行为理论,心理学理论,科学理论与方法,9
乙型肝炎,肝脏疾病与代谢,泌尿系统与代谢疾病,生物与环境设计,2
构象,构象,性质与特性,化学与物理性质,8
种子萌发,种子管理与研究,植物景观与设计,生物与环境设计,2
立体造型花坛,立体造型花坛,植物景观与设计,生物与环境设计,2
脑动脉粥样硬化,心血管疾病风险因素,急救与应急管理,信息技术与管理,12
梯度下降算法,算法设计与应用,算法设计与应用,信息技术与管理,12
磁石,磁石,材料科学与工程,生物与自然科学,4
枚举值,值的类型,值的类型,类型分类,1
辐射供冷,辐射热管理,辐射热传递,热力学与化学反应,7
反常积分,积分理论,数学理论,科学理论与方法,9
流场,流动特性,性质与特性,化学与物理性质,8
担保范围,担保范围,担保范围,法律与责任,6
基本命题,命题理论,数学理论,科学理论与方法,9
改革发展,中国经济体制改革,中国历史改革与革命,中东与中国历史政治研究,15
成本,成本与价格分析,分析方法,科学理论与方法,9
矩阵运算,矩阵理论,数学理论,科学理论与方法,9
标准态,正态分布理论,数学理论,科学理论与方法,9
饮茶,茶文化,文化艺术,中东与中国历史政治研究,15
预期通货膨胀,通货膨胀与汇率,货币与金融市场,经济体系与发展,16
系统特征,特征与性质,性质与特性,化学与物理性质,8
期刊投稿网站,期刊投稿网站,期刊分类与投稿,教育研究与实践,13
电子模拟计算机,电子学,运算放大器与电路设计,信息技术与管理,12
边际成本,成本与价格分析,分析方法,科学理论与方法,9
牧草种子形成过程,牧草种子知识,植物景观与设计,生物与环境设计,2
空袭作战,中美军事冲突,中印军事冲突与地缘政治,中东与中国历史政治研究,15
恶性肿瘤生长,癌症类型,泌尿系统与代谢疾病,生物与环境设计,2
单质,化学键与配合物,有机与无机化学知识,化学与物理性质,8
净利润,财务指标,绩效评价指标,组织与评估设计,0
海湾战争,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
合同成立条件,合同成立条件,合同法知识,法律与政治制度,10
蓝牙,无线技术与多媒体应用,多媒体与技术应用,教育研究与实践,13
政治文化,中国文化概念,中国文化概念,中东与中国历史政治研究,15
复杂反应,反应类型,反应类型,类型分类,1
课程目标的整体性,课程理论与实践,课程理论与实践,教育研究与实践,13
PHP图像操作,PHP编程知识,编程知识,数据处理与编程知识,5
教育目的选择,教育目的选择,教育目的与功能,教育研究与实践,13
目标,目标设定与规划,规划与设计,生物与环境设计,2
概念模型,模型理论,数学理论,科学理论与方法,9
政治体制改革,政治体制改革,中国历史改革与革命,中东与中国历史政治研究,15
道尔顿气体分压定律,道尔顿气体分压定律,流体力学,科学理论与方法,9
线性模型,线性理论,数学理论,科学理论与方法,9
种子萌发调节剂,种子萌发调节剂,植物景观与设计,生物与环境设计,2
教学目标,教学方法与设计,教学环境与设计,教育研究与实践,13
静息电位,电学概念,运算放大器与电路设计,信息技术与管理,12
边际产量,边际产量,边际产量,经济学概念,11
直线型组织结构,组织结构类型,结构类型,类型分类,1
小样勾兑,小样勾兑,小样勾兑,热力学与化学反应,7
分类模型,模型理论,数学理论,科学理论与方法,9
串匹配算法,算法,算法优化与分析,信息技术与管理,12
二进制序列,二进制序列,排序算法,信息技术与管理,12
电子货币,虚拟货币,货币类型,类型分类,1
DNA聚合酶,DNA生物学,生物与地理科学,生物与自然科学,4
用益物权,物权与权利,物权法律关系,法律与政治制度,10
供求理论,经济理论,经济理论概述,科学理论与方法,9
民法调整对象,民事法学,合同法知识,法律与政治制度,10
管内湍流强制换热,换热器类型,热交换与传热,热力学与化学反应,7
相机抉择,摄影技术,多媒体与技术应用,教育研究与实践,13
移动学习资源,移动学习资源,学习资源与学习者,教育研究与实践,13
配位化合物,化学概念,有机与无机化学知识,化学与物理性质,8
正交化方法,正交化方法,正交化方法,科学理论与方法,9
切线方程,切线方程,方程理论,科学理论与方法,9
完整约束,完整约束,文件格式与内容管理,信息技术与管理,12
建筑景观,建筑景观,建筑环境与生态设计,生物与环境设计,2
右心衰竭,心血管急救与疾病,急救与应急管理,信息技术与管理,12
数字货币,虚拟货币,货币类型,类型分类,1
资本净流出,资本净流出,国际贸易与经济指标,经济体系与发展,16
下载格式,下载格式,文件格式与内容管理,信息技术与管理,12
研究对象,研究对象,研究设计,组织与评估设计,0
神经信号传导,神经信号传导,神经生物学,生物与自然科学,4
价值工学,价值理论,心理学理论,科学理论与方法,9
多媒体技术发展方向,多媒体技术发展方向,多媒体与技术应用,教育研究与实践,13
承担者,承担者,承担者,法律与责任,6
热扩散率,热扩散率,热扩散率,热力学与化学反应,7
核外电子运动,电子学,运算放大器与电路设计,信息技术与管理,12
函数极限,函数极值与极限,函数分析,科学理论与方法,9
资本主义经济,资本主义理论,经济理论概述,科学理论与方法,9
关键业务,关键业务,商业与产业,经济体系与发展,16
建筑声环境,建筑环境设计,建筑环境与生态设计,生物与环境设计,2
资本循环,资本理论,经济理论概述,科学理论与方法,9
CamtasiaStudio软件,办公与设计软件应用,多媒体与技术应用,教育研究与实践,13
政府形式,政府形式,政府形式,法律与政治制度,10
速率分布函数,速率分布函数,概率分布函数,科学理论与方法,9
临床实践,临床研究与实践,课程理论与实践,教育研究与实践,13
计算机科学与技术,计算机科学与技术,多媒体与技术应用,教育研究与实践,13
逻辑学的发展史,逻辑学概论,逻辑学概论,科学理论与方法,9
限制检索词,检索词汇,信息检索技术,教育研究与实践,13
聚合物,化学键与配合物,有机与无机化学知识,化学与物理性质,8
专类园,专类园,植物景观与设计,生物与环境设计,2
教育者,教育者,教育理念,教育研究与实践,13
机器翻译,翻译与编译技术,多媒体与技术应用,教育研究与实践,13
伊拉克战争,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
原油泄露事故,原油泄露事故,石油与能源产业,经济体系与发展,16
报表分析,财务报表分析,分析方法,科学理论与方法,9
军事设施,军事设施,军事历史与组织,中东与中国历史政治研究,15
项目计划书,项目计划书,规划与设计,生物与环境设计,2
基本面分析,基本面分析,分析方法,科学理论与方法,9
结构材料,结构材料,材料科学与工程,生物与自然科学,4
集成电路,电路设计与分析,运算放大器与电路设计,信息技术与管理,12
二取代环己烷,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
教师专业化,教师专业发展,教育制度与发展,教育研究与实践,13
中东战争,中东战争与冲突,中东战争与冲突,中东与中国历史政治研究,15
串联RLC二阶电路,电路设计与分析,运算放大器与电路设计,信息技术与管理,12
超链接,超链接,信息检索技术,教育研究与实践,13
